"","newid","intno","year","firmth","nint","cdall","age","white","black","male","hsgrad","lesscol","colgrad","fam_size","nchle11","nch1217","persot64","hw","single","hwyng","hwchbs","hwchis","hwchas","spchbs","spchis","hwold","retired","headwrk","spouwrk","incweek1","inc_hrs1","incweek2","inc_hrs2","fincreal","owner","renter","ne","mw","west","urban","msa","ps4mil","ps1mil","ps330k","ps125k","tv","comp","sound","vcr","vehq","coldormi","occucod1","weight"
"5659",92000,5,1998,12,1,0,63,1,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1,8,50,1.02381,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,2,0,-1,13110.94
"5660",103373,5,2000,5,1,0,34,1,0,1,0,0,1,6,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,52,40,52,40,8.125828,1,0,0,0,0,1,1,0,1,0,0,3,1,1,2,2,0,3,8638.113
"5661",110919,4,2000,12,1,0,69,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,4.361603,1,0,0,0,0,1,1,1,0,0,0,2,1,1,2,1,0,-1,16355.2
"5662",93207,2,1998,7,1,0,81,1,0,1,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,15.61647,1,0,1,0,0,1,0,0,0,0,0,3,0,0,1,2,0,-1,22551.04
"5663",88769,4,1998,4,1,0,38,1,0,1,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,52,40,52,40,0,0,1,0,0,1,1,1,1,0,0,0,3,0,1,1,1,0,3,27415.5
"5664",116114,3,2000,12,1,41.93849,74,1,0,1,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,2,1,0,0,1,0,-1,15579.15
"5665",111840,2,2000,6,1,18.88584,46,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,52,65,52,60,9.069122,1,0,0,1,0,1,0,0,0,0,0,2,1,2,2,5,0,2,20538.06
"5666",106784,4,2000,5,1,11.35289,39,1,0,0,0,0,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,32,10,52,40,4.958373,1,0,0,0,1,1,1,1,0,0,0,1,2,10,3,4,0,3,12761.93
"5667",110046,5,2000,12,0,0,67,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,52,16,0,0,1.894874,1,0,0,0,1,1,1,1,0,0,0,2,1,1,2,2,0,10,15554.45
"5668",112676,3,2000,9,0,0,35,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,52,40,0,0,4.873477,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,3,12944.49
"5669",111763,2,2000,5,1,0,49,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,52,38,0,0,0.5458846,1,0,1,0,0,1,1,0,0,1,0,4,1,0,1,4,0,5,11965.88
"5670",84298,5,1998,3,1,0,78,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,3.103912,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,-1,15238.27
"5671",107867,4,2000,5,1,0,38,1,0,0,0,0,0,6,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,24,35,52,40,1.324503,0,1,0,0,1,1,1,0,1,0,0,3,0,1,2,3,0,10,8193.89
"5672",95945,3,1998,11,1,25.81936,43,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,52,55,0,0,4.170804,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,11,12101.68
"5673",117892,2,2000,12,1,0,47,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,52,40,0,0,2.795899,0,1,0,1,0,1,1,1,0,0,0,4,0,0,2,3,0,4,21146.13
"5674",102601,5,2000,2,0,0,38,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,52,50,52,40,8.146469,1,0,0,0,1,1,1,1,0,0,0,3,0,2,2,5,0,4,11436.7
"5675",92650,2,1998,6,1,29.97003,37,1,0,1,0,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1,36,38,5.834166,1,0,0,0,1,0,0,0,0,0,0,1,2,1,1,2,0,-1,23309.53
"5676",97445,2,1998,11,1,0,90,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,2.766534,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,-1,11330.91
"5677",104376,5,2000,5,1,0,61,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,-1,52,40,2.932829,1,0,0,0,1,1,1,0,1,0,0,3,0,0,2,3,0,-1,7111.998
"5678",89964,3,1998,4,1,0,69,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,1.133734,1,0,0,0,0,1,1,0,1,0,0,2,0,0,1,1,0,-1,20564.03
"5679",110817,5,2000,12,1,0,31,0,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0.5595527,0,1,0,0,0,1,1,0,0,1,0,2,0,0,0,1,0,-1,14078.74
"5680",103709,4,2000,1,1,13.42291,38,0,0,0,0,1,0,5,0,4,0,0,0,0,0,0,0,0,1,0,0,1,1,52,40,0,0,1.8907,1,0,0,0,0,1,1,0,0,1,0,2,0,1,1,1,0,4,10894.38
"5681",110505,5,2000,10,0,0,71,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,2.416011,1,0,0,1,0,1,1,0,0,0,0,3,1,0,2,1,0,-1,18097.34
"5682",88183,4,1998,4,1,0,47,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,52,40,52,40,6.206206,1,0,1,0,0,1,1,0,0,1,0,2,1,2,2,6,0,7,27585.63
"5683",91698,4,1998,10,1,0,70,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0.8296223,1,0,0,0,1,1,1,0,1,0,0,2,0,1,2,1,0,-1,12454.11
"5684",109945,3,2000,4,1,0,82,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,2.719355,1,0,1,0,0,1,1,1,0,0,0,2,0,0,0,2,0,-1,13163.06
